위도,경도,종류,시설명,주소,소유기관,관리주체,부지면적,면적,준공연도,건설사업비,비고,데이터기준일자
35.83406642,128.4847088,축구장,호림강나루공원 축구장,대구광역시 달서구 대천동 900,대구시,달서구,30476,7140,2001,360000000,,2024-07-02
35.80159607,128.5365016,축구장,월배축구장,대구광역시 달서구 도원동 1473,달서구,위탁:(사)달서스포츠클럽,8566,7500,2016,904000000,,2024-07-02
35.86155977,128.505848,축구장,성서국민체육센터축구장,대구광역시 달서구 이곡동 1325,대구시,대구시체육회,44669,7848,2007,3100000000,,2024-07-02
35.83243571,128.495557,축구장,성서체육공원축구장,대구광역시 달서구 월암동 1-18,대구시,성서산업단지관리공단,8284,8284,2015,1584000000,,2024-07-02
35.8501528,128.5616503,야구장,대구 두류야구장,대구광역시 달서구 두류동 581-2,대구시,두류공원 관리사무소,43840,14900,1981,1450000000,,2024-07-02
35.83628632,128.512251,테니스장,성서소각장 테니스장,대구광역시 달서구 장동 306-71,대구환경공단,대구환경공단(성서사업소),1188,1188,2001,0,성서사업소내,2024-07-02
35.852481,128.557194,테니스장,두류 테니스장,대구광역시 달서구 두류동 597,대구시,위탁(대구시테니스협회),40577,2347,1992,1151000000,두류공원 내 위치,2024-07-02
35.84999898,128.5636973,테니스장,유니버시아드 테니스장,대구광역시 달서구 성당동 154,대구시,위탁(대구시테니스협회),15603,8003,2003,5000000000,두류공원 내 위치,2024-07-02
35.86155977,128.505848,테니스장,성서 이곡운동장 테니스장,대구광역시 달서구 이곡동 1325,대구시,위탁(대구시체육회),1739,1739,2005,0,성서이곡운동장 내,2024-07-02
35.83243571,128.495557,테니스장,성서체육공원테니스장,대구광역시 달서구 월암동 1-18,대구시,산단진흥과(위탁:성서산업단지 관리공단),2400,2400,2015,0,축구장조성에 포함,2024-07-02
35.80159607,128.5365016,테니스장,월배테니스장,대구광역시 달서구 도원동 1473,달서구,위탁:(사)달서스포츠클럽,2575,1827,2017,341000000,,2024-07-02
35.84525854,128.56166,투기체육관,안병근올림픽기념 유도관,대구광역시 달서구 성당동 169-13,대구시,위탁(대구시유도회),2283,588,1987,490000000,"구, 두류 유도관",2024-07-02
35.83314256,128.5405552,생활체육관,올림픽기념 국민생활관,대구광역시 달서구 본동 산37-5,대구시,위탁(시설관리공단),9918,2016,1991,9000000000,,2024-07-02
35.82023996,128.5534045,생활체육관,대구광역시 청소년수련원,대구광역시 달서구 송현동 701,대구시,위탁((재)대구카톨릭청소년회),23275,972,1994,11232000000,,2024-07-02
35.82019464,128.5534595,생활체육관,대구광역시 청소년수련원,대구광역시 달서구 송현동 702,대구시,위탁(마하야나불교문화원),6489,1567,1999,6300000000,,2024-07-02
35.85354369,128.5254597,생활체육관,달구벌 재활스포츠센터 체육관,대구광역시 달서구 용산동 230-17,대구시,위탁(사회복지법인전석복지재단),9910,1764,2000,8600000000,명칭변경(17.7.10 조례개정),2024-07-02
35.83243571,128.495557,생활체육관,성서산업단지 다목적체육관,대구광역시 달서구 월암동 1-18,대구시,산단진흥과(위탁:성서산업단지관리공단),68581,3651,2016,5510000000,,2024-07-02
35.80159607,128.5365016,생활체육관,월배국민체육센터,대구광역시 달서구 도원동 1473,달서구,위탁:(사)달서스포츠클럽,36100,1121,2018,6100000000,,2024-07-02
35.82573061,128.5491485,생활체육관,송현체육센터,대구광역시 달서구 송현동 794-2,달서구,위탁:(사)달서송현스포츠클럽,1540,354,2018,2500000000,,2024-07-02
35.84525854,128.56166,수영장,두류 수영장,대구광역시 달서구 성당동 169-13,대구시,체육시설관리사무소(위탁:시설관리공단),56523,5209,1984,6560000000,두류공원내,2024-07-02
35.83314256,128.5405552,수영장,대구공공시설관리공단 올림픽기념국민생활관,대구광역시 달서구 본동 산37-5,대구시,위탁(시설관리공단),9918,375,1991,3384000000,체육관내,2024-07-02
35.84342427,128.5228246,수영장,웃는얼굴수영장,대구광역시 달서구 장기동 722-1,달서구,위탁(개인),18815,325,2004,2293000000,센터 내(명칭변경),2024-07-02
35.86155977,128.505848,수영장,성서국민체육센터,대구광역시 달서구 이곡동 1325,대구시,위탁(대구시체육회),3900,325,2007,4500000000,,2024-07-02
35.80724093,128.5596211,수영장,대구광역시달서구청소년수련관,대구광역시 달서구 상인동 1593-6,달서구,위탁(계명문화대학교),6489,325,1999,0,청소년수련관내,2024-07-02
35.844151,128.4872611,수영장,근로자종합복지관,대구광역시 달서구 호산동 707-3,대구시,위탁(한국노총),6623,325,2006,14778000000,"근로자종합복지관내 수영장, 주차장 증축('19.7월)",2024-07-02
35.85354369,128.5254597,수영장,달구벌 종합스포츠센터 수영장,대구광역시 달서구 용산동 230-17,대구시,장애인복지과(위탁:전석복지재단),9910,325,2000,0,달구벌종합스포츠 센터 내,2024-07-02
35.85302107,128.5295195,수영장,대구학생문화센터 수영장,대구광역시 달서구 용산동 230-6,교육청,대구학생문화센터(민간위탁:㈜참행복한),25768,1050,2002,6188000000,학생문화센터 내,2024-07-02
35.83050663,128.5394526,국궁장,학산정,대구광역시 달서구 본동 1122-1,대구시,위탁(궁도협회),6611,4350,2004,70000000,,2024-07-02
35.82197707,128.5539368,승마장,승마힐링센터,대구광역시 달서구 송현동 694,대구시,체육시설관리사무소(위탁:대구시설공단),901,765,2015,850000000,,2024-07-02
35.82197707,128.5539368,승마장,대덕 승마장,대구광역시 달서구 송현동 694,대구시,체육시설관리사무소(위탁:대구시설공단),31773,10360,1992,4500000000,,2024-07-02
35.82023996,128.5534045,기타 체육시설,청소년수련관운동장 풋살경기장,대구광역시 달서구 송현동 701,달서구,위탁(계명문화대학교),6613,2902,2007,800000000,경기장1면,2024-07-02
35.83243571,128.495557,기타 체육시설,성서체육공원풋살장,대구광역시 달서구 월암동 1-18,대구시,산단진흥과(위탁:성서산업단지관리공단),1125,1125,2015,0,"축구장, 조성비에 포함",2024-07-02
35.81766491,128.5015626,기타 체육시설,수림지 파크골프장,대구광역시 달서구 대천동 699,달서구,달서구,14854,14854,2018,1090000000,18홀,2024-07-02
35.84542049,128.5636427,기타 체육시설,두류공원다목적운동장,대구광역시 달서구 성당동 169,대구시,도시공원관리사무소,4032,850,1988,300000000,두류공원 내,2024-07-02
35.85479646,128.5967135,기타 체육시설,본리배수지 족구장,대구광역시 남구 이천동 439,달서구,달서구,800,800,2021,241000000,2면,2024-07-02
35.85751744,128.4715656,기타 체육시설,달서강창 체육시설,대구광역시 달성군 다사읍 매곡리 91,달서구,달서구,20550,20425,2021,2071000000,"파크골프장, 그라운드골프장",2024-07-02
