"시설명",시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자
"고성2.3가경로당",경로당,대구광역시 북구 고성북로 35-13(고성동3가),,35.8830628694,128.5825069667,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"고성A경로당",경로당,대구광역시 북구 고성북로 3(고성동2가),,35.8806790684,128.5815703785,영업,053-665-2532,1993-11-29,,대구광역시 북구청,2023-07-07
"장수경로당",경로당,대구광역시 북구 칠성남로 41-8(고성동2가),,35.8798265578,128.5853383408,영업,053-665-2532,2012-05-14,,대구광역시 북구청,2023-07-07
"오페라트루엘경로당",경로당,대구광역시 북구 고성북로 34(고성동3가),,35.8831703630,128.5841209342,영업,053-665-2532,2021-08-04,,대구광역시 북구청,2023-07-07
"북성경로당",경로당,대구광역시 북구 칠성남로20길 22-2(칠성동2가),,35.8784171328,128.5899082676,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"삼성A경로당",경로당,대구광역시 북구 호암로 40(칠성동2가),,35.8819029492,128.5937818904,영업,053-665-2532,1996-06-15,,대구광역시 북구청,2023-07-07
"성광우방타운경로당",경로당,대구광역시 북구 호암로 20(칠성동2가),,35.8826629400,128.5920247429,영업,053-665-2532,1996-06-15,,대구광역시 북구청,2023-07-07
"칠성경로당",경로당,대구광역시 북구 칠성남로29길 11(칠성동2가),,35.8779898996,128.5969107589,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"칠성1가경로당",경로당,대구광역시 북구 칠성시장로1길 60-3(칠성동1가),,35.8748018574,128.6022612403,영업,053-665-2532,1994-04-06,,대구광역시 북구청,2023-07-07
"칠성2가2동경로당",경로당,대구광역시 북구 공평로 179-6(칠성동2가),,35.8803020169,128.6004601911,영업,053-665-2532,1991-01-26,,대구광역시 북구청,2023-07-07
"칠성우방맨션경로당",경로당,대구광역시 북구 중앙대로105길 22(칠성동2가),,35.8807233408,128.5935113263,영업,053-665-2532,2004-09-03,,대구광역시 북구청,2023-07-07
"침산1차푸르지오경로당",경로당,대구광역시 북구 옥산로 103(칠성동2가),,35.8845215060,128.5866896541,영업,053-665-2532,2006-05-29,,대구광역시 북구청,2023-07-07
"열린경로당",경로당,대구광역시 북구 칠성로 25-12(칠성동2가),,35.8802351771,128.5926225819,영업,053-665-2532,2010-04-30,,대구광역시 북구청,2023-07-07
"삼성시장경로당",경로당,대구광역시 북구 칠성시장로 28(칠성동1가),,35.8769795703,128.6045009807,영업,053-665-2532,2011-04-18,,대구광역시 북구청,2023-07-07
"서희스타힐스경로당",경로당,대구광역시 북구 칠성남로101(칠성2가),,35.8786256114,128.5918708538,영업,053-665-2532,2012-06-19,,대구광역시 북구청,2023-07-07
"오페라코오롱하늘채경로당",경로당,대구광역시 북구 중앙대로 540(칠성동2가),,35.8803270538,128.5970633167,영업,053-665-2532,2015-03-20,,대구광역시 북구청,2023-07-07
"대구역유림노르웨이숲경로당",경로당,대구광역시 북구 칠성남로26길 11,,35.8771972344,128.5927186532,영업,053-665-2532,2022-09-01,,대구광역시 북구청,2023-07-07
"동화타운경로당",경로당,대구광역시 북구 침산남로7길 50-21(침산동),,35.8932787036,128.5794928710,영업,053-665-2532,1999-06-14,,대구광역시 북구청,2023-07-07
"백사벌경로당",경로당,"대구광역시 북구 노원로48길 10, B103(침산동, 대한빌라)",,35.8998626014,128.5857157340,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"오봉경로당",경로당,대구광역시 북구 오봉로22길 45(침산동),,35.8958994341,128.5835270946,영업,053-665-2532,1995-11-08,,대구광역시 북구청,2023-07-07
"진목경로당",경로당,대구광역시 북구 오봉로 142(침산동),,35.9002582175,128.5795002044,영업,053-665-2532,2004-05-06,,대구광역시 북구청,2023-07-07
"침산1동경로당",경로당,대구광역시 북구 침산남로서9길 6-4(침산동),,35.8913915341,128.5811976105,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"남영타운경로당",경로당,대구광역시 북구 침산남로9길 167(침산동),,35.8995292894,128.5869760185,영업,053-665-2532,1999-08-06,,대구광역시 북구청,2023-07-07
"침산2동경로당",경로당,대구광역시 북구 침산남로31길 4-1(침산동),,35.8884289860,128.5930708416,영업,053-665-2532,2016-06-07,,대구광역시 북구청,2023-07-07
"옥산경로당",경로당,대구광역시 북구 칠성시장로25길 15(침산동),,35.8844853021,128.5996883983,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"옥산할머니경로당",경로당,대구광역시 북구 침산남로44길 7-3(침산동),,35.8860330300,128.5996463357,영업,053-665-2532,1992-10-21,,대구광역시 북구청,2023-07-07
"침산건영하이츠경로당",경로당,대구광역시 북구 침산로 158(침산동),,35.8903426948,128.5908990910,영업,053-665-2532,2003-01-02,,대구광역시 북구청,2023-07-07
"침산옥석타운경로당",경로당,대구광역시 북구 침산남로31길 11(침산동),,35.8886914203,128.5929197340,영업,053-665-2532,1996-03-18,,대구광역시 북구청,2023-07-07
"한라스카이빌경로당",경로당,대구광역시 북구 침산로 22길 5(침산동),,35.8860846446,128.5913599436,영업,053-665-2532,2003-10-11,,대구광역시 북구청,2023-07-07
"화성1차A경로당",경로당,대구광역시 북구 침산남로37길 5(침산동),,35.8875370755,128.5957961948,영업,053-665-2532,1999-11-12,,대구광역시 북구청,2023-07-07
"화성2차A경로당",경로당,대구광역시 북구 침산남로37길 24(침산동),,35.8892654548,128.5947657735,영업,053-665-2532,1999-11-15,,대구광역시 북구청,2023-07-07
"롯데캐슬오페라경로당",경로당,대구광역시 북구 침산남로 160(침산동),,35.8869904961,128.5925748184,영업,053-665-2532,2006-02-21,,대구광역시 북구청,2023-07-07
"침산삼정그린코아경로당",경로당,대구광역시 북구 중앙대로 570(침산동),,35.8834310757,128.5975886229,영업,053-665-2532,2006-11-14,,대구광역시 북구청,2023-07-07
"침산동코오롱하늘채2단지경로당",경로당,대구광역시 북구 중앙대로 591(침산동),,35.8856610575,128.5951943465,영업,053-665-2532,2007-01-29,,대구광역시 북구청,2023-07-07
"침산동코오롱하늘채1단지경로당",경로당,대구광역시 북구 침산로22길 31(침산동),,35.8857044161,128.5927017674,영업,053-665-2532,2007-04-14,,대구광역시 북구청,2023-07-07
"침산화성파크드림경로당",경로당,대구광역시 북구 성북로 70(침산동),,35.8906620184,128.5932401691,영업,053-665-2532,2018-01-23,,대구광역시 북구청,2023-07-07
"동아1차무지개A경로당",경로당,대구광역시 북구 침산로21길 24(침산동),,35.8868451361,128.5876482770,영업,053-665-2532,1999-11-26,,대구광역시 북구청,2023-07-07
"동아2차무지개A경로당",경로당,대구광역시 북구 침산로21길 10(침산동),,35.8871115200,128.5890239825,영업,053-665-2532,2003-06-30,,대구광역시 북구청,2023-07-07
"선학경로당",경로당,대구광역시 북구 성북로 50(침산동),,35.8914432502,128.5889872949,영업,053-665-2532,1992-07-31,,대구광역시 북구청,2023-07-07
"일심 경로당",경로당,대구광역시 북구 성북로 8(침산동),,35.8899348144,128.5847607906,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"침산2차청구경로당(청구2차@)경로당",경로당,대구광역시 북구 침산남로19길 8(침산동),,35.8893023091,128.5875573619,영업,053-665-2532,1997-11-03,,대구광역시 북구청,2023-07-07
"침산3동경로당",경로당,대구광역시 북구 성북로5길 30(침산동),,35.8935255319,128.5871328090,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"침산3동제2경로당",경로당,대구광역시 북구 침산로48길 10(침산동),,35.8971594338,128.5905201804,영업,053-665-2532,2003-06-02,,대구광역시 북구청,2023-07-07
"침산동서타운경로당",경로당,대구광역시 북구 침산남로 116(침산동),,35.8882209133,128.5876479505,영업,053-665-2532,1996-10-15,,대구광역시 북구청,2023-07-07
"침산쌍용A경로당",경로당,대구광역시 북구 침산로21길 36(침산동),,35.8875473562,128.5867649797,영업,053-665-2532,1999-08-03,,대구광역시 북구청,2023-07-07
"침산우국경로당",경로당,대구광역시 북구 옥산로17길 50(침산동),,35.8888902626,128.5868721762,영업,053-665-2532,1993-06-16,,대구광역시 북구청,2023-07-07
"침산청구A경로당(청구1차@)경로당",경로당,대구광역시 북구 침산남로19길 9(침산동),,35.8904451868,128.5866535948,영업,053-665-2532,1995-10-02,,대구광역시 북구청,2023-07-07
"침산현대A경로당",경로당,대구광역시 북구 침산로 163(침산동),,35.8904768341,128.5898407463,영업,053-665-2532,1996-12-21,,대구광역시 북구청,2023-07-07
"침산3차푸르지오A경로당",경로당,대구광역시 북구 침산남로 130(침산동),,35.8884107558,128.5896798360,영업,053-665-2532,2005-06-17,,대구광역시 북구청,2023-07-07
"태왕리더스경로당",경로당,대구광역시 북구 침산남로 80(침산동),,35.8891842484,128.5835999907,영업,053-665-2532,2006-12-27,,대구광역시 북구청,2023-07-07
"명성푸르지오경로당",경로당,대구광역시 북구 침산로 153(침산동),,35.8889874510,128.5897437461,영업,053-665-2532,2007-01-29,,대구광역시 북구청,2023-07-07
"침산2차쌍용예가경로당",경로당,대구광역시 북구 성북로9길12(침산동),,35.8936878628,128.5884794171,영업,053-665-2532,2014-10-21,,대구광역시 북구청,2023-07-07
"침산메트로경로당",경로당,대구광역시 북구 침산남로90(침산동),,35.8891532125,128.5855148640,영업,053-665-2532,2016-12-20,,대구광역시 북구청,2023-07-07
"노원1.2가경로당",경로당,대구광역시 북구 노원로16길 88(노원동2가),,35.8925181605,128.5746404836,영업,053-665-2532,1994-06-20,,대구광역시 북구청,2023-07-07
"노원1가경로당",경로당,대구광역시 북구 원대로25길 19(노원동1가),,35.8884463394,128.5808958555,영업,053-665-2532,1996-11-13,,대구광역시 북구청,2023-07-07
"노원보성A경로당",경로당,대구광역시 북구 오봉로3길 47(노원동2가),,35.8901815019,128.5737052732,영업,053-665-2532,2000-12-15,,대구광역시 북구청,2023-07-07
"노원3가1동경로당",경로당,대구광역시 북구 팔달로27길 124(노원동3가),,35.8930318398,128.5699862214,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"노원3가2동경로당",경로당,대구광역시 북구 노원로23길 16-1(노원동3가),,35.8975619813,128.5726024156,영업,053-665-2532,1995-04-18,,대구광역시 북구청,2023-07-07
"노원3가공단경로당",경로당,대구광역시 북구 3공단로14길 18-7(노원동3가),,35.8937790865,128.5610965056,영업,053-665-2532,2003-12-26,,대구광역시 북구청,2023-07-07
"노원동화타운경로당",경로당,대구광역시 북구 오봉로 39(노원동2가),,35.8916457145,128.5767524959,영업,053-665-2532,2010-03-10,,대구광역시 북구청,2023-07-07
"대구노원한신더휴아파트경로당",경로당,대구광역시 북구 노원로10길 40(노원동3가),,35.8900615300,128.5693834891,영업,053-665-2532,2018-07-18,,대구광역시 북구청,2023-07-07
"매잠경로당",경로당,대구광역시 북구 연암로36길 8-1(산격동),,35.9006003289,128.5971060920,영업,053-665-2532,1997-03-17,,대구광역시 북구청,2023-07-07
"산격1동경로당",경로당,대구광역시 북구 연암로 86(산격동),,35.8924202274,128.5948154319,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"산격복지(제2)경로당",경로당,대구광역시 북구 연암로 183(산격동),,35.9010967224,128.5958895363,영업,053-665-2532,1993-01-13,,대구광역시 북구청,2023-07-07
"산격제3경로당",경로당,대구광역시 북구 연암로33길 12-1(산격동),,35.8987199528,128.5945071126,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"서당골경로당",경로당,대구광역시 북구 연암공원로 60(산격동),,35.8958309136,128.5993167491,영업,053-665-2532,1999-05-08,,대구광역시 북구청,2023-07-07
"금오아파트경로당",경로당,대구광역시 북구 연암로25길 11(산격동),,35.8957226739,128.5935092671,영업,053-665-2532,2005-07-21,,대구광역시 북구청,2023-07-07
"산격거평A경로당",경로당,대구광역시 북구 유통단지로3길 7(산격동),,35.9057726345,128.6032890003,영업,053-665-2532,1998-09-29,,대구광역시 북구청,2023-07-07
"산격대우A경로당",경로당,대구광역시 북구 동북로 163(산격동),,35.8989133854,128.6125190158,영업,053-665-2532,2000-03-28,,대구광역시 북구청,2023-07-07
"산격에덴A경로당",경로당,대구광역시 북구 동북로37길 58-17(산격동),,35.9032837559,128.6116704344,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"강변경로당",경로당,대구광역시 북구 호국로 25-3(산격동),,35.9047319594,128.6024282012,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"수정A경로당",경로당,대구광역시 북구 검단북로 22(산격동),,35.9137223926,128.6087431530,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"신기경로당",경로당,대구광역시 북구 대불서길 53-9(산격동),,35.9040267122,128.6120955411,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"대불경로당",경로당,대구광역시 북구 대불서길 19-10(산격동),,35.9010996598,128.6134493210,영업,053-665-2532,1999-03-04,,대구광역시 북구청,2023-07-07
"문화경로당",경로당,대구광역시 북구 동북로37길 9-17(산격동),,35.8998499420,128.6124984769,영업,053-665-2532,2009-10-16,,대구광역시 북구청,2023-07-07
"백세경로당",경로당,대구광역시 북구 동북로 149-3(산격동),,35.9004619103,128.6094287590,영업,053-665-2532,2009-12-17,,대구광역시 북구청,2023-07-07
"양우내안애경로당",경로당,대구광역시 북구 동북로 131(산격동),,35.9020499563,128.6074262783,영업,053-665-2532,2010-10-28,,대구광역시 북구청,2023-07-07
"버드나무골경로당",경로당,대구광역시 북구 대동로10길 9(산격동),,35.8957220015,128.6114456757,영업,053-665-2532,1997-05-16,,대구광역시 북구청,2023-07-07
"산격3동경로당",경로당,대구광역시 북구 대학로15길 16(산격동),,35.8935255270,128.6083100948,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"산격3동수산경로당",경로당,대구광역시 북구 산격로 106-4(산격동),,35.8989995999,128.6081334453,영업,053-665-2532,1997-10-18,,대구광역시 북구청,2023-07-07
"산격2차청구A경로당",경로당,대구광역시 북구 대구체육관로4길 2(산격동),,35.8904994716,128.6022595790,영업,053-665-2532,2001-03-16,,대구광역시 북구청,2023-07-07
"장수정경로당",경로당,대구광역시 북구 대구체육관로10길 22-1(산격동),,35.8915433286,128.6037192943,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"수도산경로당",경로당,대구광역시 북구 연암공원로149(산격동),,35.9012790244,128.6060802634,영업,053-665-2532,2001-11-17,,대구광역시 북구청,2023-07-07
"연암경로당",경로당,대구광역시 북구 연암공원로32길 64-3(산격동),,35.8972239153,128.6044552151,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"행복경로당",경로당,대구광역시 북구 산격로11길 36-5(산격동),,35.8961247354,128.6010574596,영업,053-665-2532,2021-03-24,,대구광역시 북구청,2023-07-07
"동진A경로당",경로당,대구광역시 북구 동북로50길 10(복현동),,35.8951038607,128.6169459001,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"들샘경로당",경로당,대구광역시 북구 경진로4길 25-1(복현동),,35.8938401143,128.6156131568,영업,053-665-2532,1994-01-11,,대구광역시 북구청,2023-07-07
"복현경로당",경로당,대구광역시 북구 경대로23길 25-5(복현동),,35.8907818959,128.6179778316,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"광명경로당",경로당,대구광역시 북구 동북로65길 13(복현동),,35.8931806489,128.6266669588,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"복현2차서한타운경로당",경로당,대구광역시 북구 공항로15길 8(복현동),,35.9012000665,128.6230418488,영업,053-665-2532,1997-12-18,,대구광역시 북구청,2023-07-07
"복현건영경로당",경로당,대구광역시 북구 검단로 28(복현동),,35.9000620416,128.6174982052,영업,053-665-2532,1999-03-02,,대구광역시 북구청,2023-07-07
"복현대백맨션경로당",경로당,대구광역시 북구 복현로 137(복현동),,35.9012541856,128.6161976960,영업,053-665-2532,1996-10-29,,대구광역시 북구청,2023-07-07
"복현보성타운경로당",경로당,대구광역시 북구 검단로 64(복현동),,35.9030191217,128.6167686705,영업,053-665-2532,1997-02-05,,대구광역시 북구청,2023-07-07
"복현서한경로당",경로당,대구광역시 북구 검단로 50(복현동),,35.9028393186,128.6171319597,영업,053-665-2532,1997-08-21,,대구광역시 북구청,2023-07-07
"복현우방맨션경로당",경로당,대구광역시 북구 공항로 84(복현동),,35.8992926731,128.6242584138,영업,053-665-2532,1997-04-28,,대구광역시 북구청,2023-07-07
"복현청구타운경로당",경로당,대구광역시 북구 검단로 34(복현동),,35.9004285818,128.6159219587,영업,053-665-2532,1997-01-27,,대구광역시 북구청,2023-07-07
"복현큰마을경로당",경로당,대구광역시 북구 공항로15길 15-21(복현동),,35.9002788921,128.6229110628,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"복현화성타운경로당",경로당,대구광역시 북구 복현로 173(복현동),,35.9051472384,128.6189021758,영업,053-665-2532,2001-05-02,,대구광역시 북구청,2023-07-07
"봉우(83시영)경로당",경로당,대구광역시 북구 복현로 37(복현동),,35.8962956729,128.6239323682,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"성화A경로당",경로당,대구광역시 북구 복현로 114-18(복현동),,35.9021969792,128.6204877304,영업,053-665-2532,1992-09-18,,대구광역시 북구청,2023-07-07
"장미A경로당",경로당,대구광역시 북구 공항로 31(복현동),,35.8986570604,128.6181484241,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"한라맨션경로당",경로당,대구광역시 북구 공항로5길 6(복현동),,35.8991961059,128.6179488536,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"현대맨션경로당",경로당,대구광역시 북구 복현로 115(복현동),,35.8998581275,128.6181860563,영업,053-665-2532,1993-07-31,,대구광역시 북구청,2023-07-07
"태왕아너스복현경로당",경로당,대구광역시 북구 복현로 105(복현동),,35.8994020193,128.6196595575,영업,053-665-2532,2007-04-10,,대구광역시 북구청,2023-07-07
"소라경로당",경로당,대구광역시 북구 복현로 104-11(복현동),,35.9003821226,128.6208393703,영업,053-665-2532,2009-10-07,,대구광역시 북구청,2023-07-07
"고최골경로당",경로당,대구광역시 북구 복현로20길 65-6(복현동),,35.9053176561,128.6210716217,영업,053-665-2532,2010-07-12,,대구광역시 북구청,2023-07-07
"복현명문세가1단지경로당",경로당,대구광역시 북구 복현로 71(복현동),,35.8985013532,128.6224480343,영업,053-665-2532,2012-12-20,,대구광역시 북구청,2023-07-07
"복현푸르지오경로당",경로당,대구광역시 북구 동북로 345(복현동),,35.8925890167,128.6273480083,영업,053-665-2532,2014-10-15,,대구광역시 북구청,2023-07-07
"영진경로당",경로당,대구광역시 북구 복현로 3-6(복현동),,35.8932011387,128.6222550275,영업,053-665-2532,2015-10-16,,대구광역시 북구청,2023-07-07
"복현아이파크아파트경로당",경로당,대구광역시 북구 동북로 241,,35.896546623,128.617518038,영업,053-665-2532,2022-09-27,,대구광역시 북구청,2023-07-07
"복현자이아파트경로당",경로당,대구광역시 북구 공항로 16,,35.897258497,128.617352552,영업,053-665-2532,2022-10-27,,대구광역시 북구청,2023-07-07
"이편한세상복현경로당",경로당,대구광역시 북구 동북로 247,,35.895406412,128.618541418,영업,053-665-2532,2023-06-01,,대구광역시 북구청,2023-07-07
"대현1동제1경로당",경로당,대구광역시 북구 대현로 17길 7(대현동),,35.8832655801,128.6088238951,영업,053-665-2532,1997-11-24,,대구광역시 북구청,2023-07-07
"대현1동제2경로당",경로당,대구광역시 북구 대현로서15길 50-7(대현동),,35.8866681417,128.6041933691,영업,053-665-2532,1997-01-24,,대구광역시 북구청,2023-07-07
"신화맨션경로당",경로당,대구광역시 북구 경대로5길 25(대현동),,35.8845783323,128.6111313601,영업,053-665-2532,1997-11-24,,대구광역시 북구청,2023-07-07
"감밭경로당",경로당,대구광역시 북구 대현남로8길 5(대현동),,35.8818628247,128.6080263838,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"대현2동경로당",경로당,대구광역시 북구 신천동로146길 9(대현동),,35.8842532435,128.6030075262,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"대현제3경로당",경로당,대구광역시 북구 대현남로2길46(대현동),,35.8785664047,128.6058414398,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"대현뜨란채경로당",경로당,대구광역시 북구 대현남로 28(대현동),,35.8804789962,128.6051732718,영업,053-665-2532,2006-12-14,,대구광역시 북구청,2023-07-07
"대현e-편한세상경로당",경로당,대구광역시 북구 대현로10길 82(대현동),,35.8820845362,128.6029687969,영업,053-665-2532,2009-06-11,,대구광역시 북구청,2023-07-07
"대현한신휴플러스경로당",경로당,대구광역시 북구 대현남로 25(대현동),,35.8815664522,128.6046435603,영업,053-665-2532,2011-07-19,,대구광역시 북구청,2023-07-07
"센트럴파크대현경로당",경로당,대구광역시 북구 대현남로6길 20(대현동),,35.8804215227,128.6084719380,영업,053-665-2532,2017-04-03,,대구광역시 북구청,2023-07-07
"검단 경로당",경로당,대구광역시 북구 검단동로4길 13-50(검단동),,35.9146155239,128.6268358167,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"검단부녀경로당",경로당,대구광역시 북구 검단동로4길 13-50(검단동),,35.9146155239,128.6268358167,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"민들레A경로당",경로당,대구광역시 북구 검단로 255(검단동),,35.9163357579,128.6281405688,영업,053-665-2532,1992-07-24,,대구광역시 북구청,2023-07-07
"유성청구A 남경로당",경로당,대구광역시 북구 검단로 115(검단동),,35.9070346486,128.6196249389,영업,053-665-2532,1993-02-01,,대구광역시 북구청,2023-07-07
"유성청구A 여경로당",경로당,대구광역시 북구 검단로 115(검단동),,35.9070346486,128.6196249389,영업,053-665-2532,2017-05-01,,대구광역시 북구청,2023-07-07
"검단이팝나무경로당",경로당,"대구광역시 북구 검단동로 24-38,103호(검단동, 신한빌라)",,35.9140560322,128.6258897477,영업,053-665-2532,2021-04-07,,대구광역시 북구청,2023-07-07
"동변(남)경로당",경로당,대구광역시 북구 동변로24길 14(동변동),,35.9222563504,128.6006923971,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"동변(여)경로당",경로당,대구광역시 북구 동변로24길 14(동변동),,35.9222563504,128.6006923971,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"동서리치모아경로당",경로당,대구광역시 북구 서변로 88(서변동),,35.9233714593,128.5971510217,영업,053-665-2532,2004-06-04,,대구광역시 북구청,2023-07-07
"동서변그린빌경로당",경로당,대구광역시 북구 동변로 55(동변동),,35.9167887754,128.6024234735,영업,053-665-2532,2002-12-02,,대구광역시 북구청,2023-07-07
"서변 경로당",경로당,대구광역시 북구 환성정길 17-1(서변동),,35.9230048421,128.5944695515,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"서변청아람경로당",경로당,대구광역시 북구 호국로57길 20(서변동),,35.9281696539,128.5961407996,영업,053-665-2532,2003-11-19,,대구광역시 북구청,2023-07-07
"선수촌1단지경로당",경로당,대구광역시 북구 동변로 50(동변동),,35.9157780707,128.6042511947,영업,053-665-2532,2004-06-24,,대구광역시 북구청,2023-07-07
"연경경로당",경로당,대구광역시 북구 도덕길 175(연경동),,35.9570879911,128.6139722626,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"영남네오빌블루경로당",경로당,대구광역시 북구 서변로 120(서변동),,35.9272317209,128.5972609088,영업,053-665-2532,2004-09-03,,대구광역시 북구청,2023-07-07
"이곡경로당",경로당,대구광역시 북구 이곡길 25(서변동),,35.9371284868,128.6053876870,영업,053-665-2532,2005-01-18,,대구광역시 북구청,2023-07-07
"조야 경로당",경로당,대구광역시 북구 조야로 49(조야동),,35.9116132002,128.5768758544,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"화성리버파크1단지경로당",경로당,대구광역시 북구 서변로 72(서변동),,35.9225734704,128.5978780254,영업,053-665-2532,2003-10-11,,대구광역시 북구청,2023-07-07
"화성리버파크2단지경로당",경로당,대구광역시 북구 서변로 50(서변동),,35.9199079807,128.5970264205,영업,053-665-2532,2004-02-13,,대구광역시 북구청,2023-07-07
U대회선수촌2단지경로당,경로당,대구광역시 북구 동변로 24(동변동),,35.9162331708,128.6025423192,영업,053-665-2532,2004-06-15,,대구광역시 북구청,2023-07-07
"동서변리벤빌경로당",경로당,대구광역시 북구 서변로 106(서변동),,35.9249744954,128.5969744226,영업,053-665-2532,2005-11-11,,대구광역시 북구청,2023-07-07
