"시설명",시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자
"동서변월드메르디앙경로당",경로당,대구광역시 북구 서변로 26(서변동),,35.9188058476,128.5972329141,영업,053-665-2532,2006-05-26,,대구광역시 북구청,2023-07-07
"고촌경로당",경로당,대구광역시 북구 고촌길 157-3(서변동),,35.9126664929,128.5915541612,영업,053-665-2532,2007-11-20,,대구광역시 북구청,2023-07-07
"대구연경천년나무1단지아파트경로당",경로당,대구광역시 북구 동화천로 280(연경동),,35.9408427810,128.6218468390,영업,053-665-2532,2019-11-20,,대구광역시 북구청,2023-07-07
"연경숲아파트경로당",경로당,대구광역시 북구 연경중앙로55(연경동),,35.9489134232,128.6154505787,영업,053-665-2532,2022-07-01,,대구광역시 북구청,2023-07-07
"연경우방아이유쉘경로당",경로당,대구광역시 북구 연경중앙로11길 33(연경동),,35.9457826942,128.6145887119,영업,053-665-2532,2022-07-01,,대구광역시 북구청,2023-07-07
"연경예미지 숲속의아침 경로당",경로당,대구광역시 북구 연경중앙로11(연경동),,35.9434201348,128.6152566248,영업,053-665-2532,2022-07-01,,대구광역시 북구청,2023-07-07
"연경대광로제비앙아파트",경로당,대구광역시 북구 동화천로 220,,35.940703943,128.616381383,영업,053-665-2532,2022-08-01,,대구광역시 북구청,2023-07-07
"연경동화아이위시경로당",경로당,대구광역시 북구 동화천로190(연경동),,35.9395543491,128.6123436166,영업,053-665-2532,2023-07-04,,대구광역시 북구청,2023-07-07
"노곡(할아버지)경로당",경로당,대구광역시 북구 노곡로 25(노곡동),,35.9062701446,128.5626589755,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"노곡제3(할머니)경로당",경로당,대구광역시 북구 노곡로 25(노곡동),,35.9062701446,128.5626589755,영업,053-665-2532,1993-02-01,,대구광역시 북구청,2023-07-07
"대백인터빌경로당",경로당,대구광역시 북구 작원길 25(팔달동),,35.8997732996,128.5484951681,영업,053-665-2532,2003-03-03,,대구광역시 북구청,2023-07-07
"매남경로당",경로당,대구광역시 북구 매천로37길 26-15(매천동),,35.9144426752,128.5396386235,영업,053-665-2532,1992-12-02,,대구광역시 북구청,2023-07-07
"매천경로당",경로당,대구광역시 북구 매천로동17길 17(매천동),,35.9060346297,128.5401587896,영업,053-665-2532,1992-06-11,,대구광역시 북구청,2023-07-07
"문주 경로당",경로당,대구광역시 북구 문주길 11(금호동),,35.8989333238,128.5250654970,영업,053-665-2532,1992-01-23,,대구광역시 북구청,2023-07-07
"삼우그린타운경로당",경로당,대구광역시 북구 매천로8길 35(매천동),,35.9000543683,128.5463205020,영업,053-665-2532,1996-09-20,,대구광역시 북구청,2023-07-07
"청구장미마을경로당",경로당,대구광역시 북구 칠곡중앙대로 45(매천동),,35.9007559094,128.5460056424,영업,053-665-2532,1997-04-25,,대구광역시 북구청,2023-07-07
"청구타운2001(두산위브2001)경로당",경로당,대구광역시 북구 매천로2길 19(팔달동),,35.8981895535,128.5436019708,영업,053-665-2532,1999-05-08,,대구광역시 북구청,2023-07-07
"팔달경로당",경로당,대구광역시 북구 장태실길 33(팔달동),,35.8976420682,128.5359314937,영업,053-665-2532,1992-01-23,,대구광역시 북구청,2023-07-07
"매천휴먼시아2단지경로당",경로당,대구광역시 북구 매전로4길 9(매천동),,35.9083476167,128.5442261881,영업,053-665-2532,2008-12-15,,대구광역시 북구청,2023-07-07
"매천화성파크드림경로당",경로당,대구광역시 북구 매전로 17(매천동),,35.9092419104,128.5427894918,영업,053-665-2532,2011-07-27,,대구광역시 북구청,2023-07-07
"대구금호LH천년나무1단지경로당",경로당,대구광역시 북구 한강로 55(사수동),,35.8987560119,128.5142403763,영업,053-665-2532,2014-12-26,,대구광역시 북구청,2023-07-07
"금호서한이다음경로당경로당",경로당,대구광역시 북구 한강로 17(사수동),,35.8973810095,128.5121045427,영업,053-665-2532,2017-08-14,,대구광역시 북구청,2023-07-07
"브라운스톤강북아파트경로당",경로당,대구광역시 북구 내곡로89(사수동),,35.9020612060,128.5140793892,영업,053-665-2532,2015-12-24,,대구광역시 북구청,2023-07-07
"대구금호LH천년나무8단지경로당",경로당,대구광역시 북구 내곡로15(사수동),,35.8988769339,128.5080693613,영업,053-665-2532,2016-10-07,,대구광역시 북구청,2023-07-07
"대구금호LH천년나무5단지경로당",경로당,대구광역시 북구 내곡로69(사수동),,35.9031441243,128.5118261884,영업,053-665-2532,2017-05-29,,대구광역시 북구청,2023-07-07
e편한세상대구금호경로당,경로당,대구광역시 북구 내곡로49(사수동),,35.9010412260,128.5088727809,영업,053-665-2532,2018-02-14,,대구광역시 북구청,2023-07-07
"대구금호스타힐스경로당",경로당,대구광역시 북구 내곡로70(사수동),,35.9012193341,128.5124077221,영업,053-665-2532,2019-04-17,,대구광역시 북구청,2023-07-07
"사수경로당",경로당,대구광역시 북구 한강로6길 4-7(사수동),,35.8967528055,128.5150079444,영업,053-665-2532,2019-07-01,,대구광역시 북구청,2023-07-07
"한신더휴웨스턴팰리스아파트경로당",경로당,대구광역시 북구 매전로4길 32(매천동),,35.9062271267,128.5420953834,영업,053-665-2532,2020-10-14,,대구광역시 북구청,2023-07-07
"관음타운경로당",경로당,대구광역시 북구 영송로 63(태전동),,35.9317625309,128.5425180057,영업,053-665-2532,1996-03-26,,대구광역시 북구청,2023-07-07
"금정경로당",경로당,대구광역시 북구 칠곡중앙대로69길 12(태전동),,35.9269624948,128.5462520432,영업,053-665-2532,1994-06-28,,대구광역시 북구청,2023-07-07
"두성1차타운경로당",경로당,대구광역시 북구 태전로7길 10-17(태전동),,35.9230196159,128.5425417168,영업,053-665-2532,1995-06-29,,대구광역시 북구청,2023-07-07
"롯데아파트경로당",경로당,대구광역시 북구 구암로12(태전동),,35.9331691782,128.5424575815,영업,053-665-2532,1993-12-15,,대구광역시 북구청,2023-07-07
"우방타운경로당",경로당,대구광역시 북구 매천로 220(태전동),,35.9156733267,128.5430036798,영업,053-665-2532,1993-01-08,,대구광역시 북구청,2023-07-07
"은마경로당",경로당,대구광역시 북구 태전로 51(태전동),,35.9244221249,128.5437566410,영업,053-665-2532,2000-04-17,,대구광역시 북구청,2023-07-07
"칠곡대백맨션(1차)경로당",경로당,대구광역시 북구 관음로 24(태전동),,35.9326129766,128.5415190244,영업,053-665-2532,1994-03-31,,대구광역시 북구청,2023-07-07
"태전1동경로당",경로당,대구광역시 북구 태전로7길 10-24(태전동),,35.9241286969,128.5434005057,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"태전3차두성타운경로당",경로당,대구광역시 북구 태전로13길 22(태전동),,35.9240322768,128.5415209525,영업,053-665-2532,2003-03-03,,대구광역시 북구청,2023-07-07
"태전대백맨션(2차)경로당",경로당,대구광역시 북구 관음로 18(태전동),,35.9318917709,128.5404047604,영업,053-665-2532,1995-11-08,,대구광역시 북구청,2023-07-07
"태전두전경로당",경로당,대구광역시 북구 칠곡중앙대로71길16-12(태전동),,35.9281938682,128.5460939847,영업,053-665-2532,1998-01-21,,대구광역시 북구청,2023-07-07
"태전한라A경로당",경로당,대구광역시 북구 태전로7길 13(태전동),,35.9228762224,128.5432865355,영업,053-665-2532,1997-05-12,,대구광역시 북구청,2023-07-07
"태전협화A경로당",경로당,대구광역시 북구 칠곡중앙대로51길 6(태전동),,35.9176770415,128.5448866753,영업,053-665-2532,1992-10-27,,대구광역시 북구청,2023-07-07
"한신중앙A경로당",경로당,대구광역시 북구 영송로 85(태전동),,35.9327968172,128.5426125618,영업,053-665-2532,1994-08-05,,대구광역시 북구청,2023-07-07
"한일A경로당",경로당,대구광역시 북구 칠곡중앙대로53길 32(태전동),,35.9187281066,128.5422328128,영업,053-665-2532,1997-06-16,,대구광역시 북구청,2023-07-07
"수평경로당",경로당,대구광역시 북구 태전로7길 42-3(태전동),,35.9228410599,128.5400112631,영업,053-665-2532,2008-05-23,,대구광역시 북구청,2023-07-07
"강북2차화성파크드림와이드경로당",경로당,대구광역시 북구 태전로3길 24(태전동),,35.9215488675,128.5430530157,영업,053-665-2532,2009-03-10,,대구광역시 북구청,2023-07-07
"태복경로당",경로당,"대구광역시 북구 학정로7길 6, 201동101호(태전동)",,35.9140671199,128.5466527033,영업,053-665-2532,2007-11-20,,대구광역시 북구청,2023-07-07
"두성파크경로당",경로당,대구광역시 북구 학정로13길 16(태전동),,35.9154552543,128.5499773857,영업,053-665-2532,1993-12-09,,대구광역시 북구청,2023-07-07
"삼성A경로당",경로당,대구광역시 북구 칠곡중앙대로52길 20(태전동),,35.9198592844,128.5483600132,영업,053-665-2532,1994-12-09,,대구광역시 북구청,2023-07-07
"새마을 경로당",경로당,대구광역시 북구 태암로5길 12(태전동),,35.9295237465,128.5509992114,영업,053-665-2532,1994-06-28,,대구광역시 북구청,2023-07-07
"에덴팔공경로당",경로당,대구광역시 북구 구암로22길 14(태전동),,35.9318603446,128.5519518802,영업,053-665-2532,1993-11-13,,대구광역시 북구청,2023-07-07
"우방미진경로당",경로당,대구광역시 북구 칠곡중앙대로52길 46(태전동),,35.9225800232,128.5492741057,영업,053-665-2532,1994-03-29,,대구광역시 북구청,2023-07-07
"전원맨션경로당",경로당,대구광역시 북구 칠곡중앙대로46길 25(태전동),,35.9186481533,128.5498051637,영업,053-665-2532,1991-03-04,,대구광역시 북구청,2023-07-07
"태전2동 경로당",경로당,대구광역시 북구 학정로 111-18(태전동),,35.9182863638,128.5502782355,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"태전3차우방A경로당",경로당,대구광역시 북구 학정로 126(태전동),,35.9188092841,128.5513534007,영업,053-665-2532,1999-08-27,,대구광역시 북구청,2023-07-07
"태전중석타운경로당",경로당,대구광역시 북구 학정로7길 3(태전동),,35.9142028240,128.5450717906,영업,053-665-2532,1995-05-17,,대구광역시 북구청,2023-07-07
"현대1차경로당",경로당,대구광역시 북구 구암로16길 7(태전동),,35.9312829800,128.5492667535,영업,053-665-2532,1994-01-10,,대구광역시 북구청,2023-07-07
"강북화성파크드림경로당",경로당,대구광역시 북구 칠곡중앙대로 312(태전동),,35.9230812091,128.5472013789,영업,053-665-2532,2009-03-18,,대구광역시 북구청,2023-07-07
"태전휴먼시아아파트경로당",경로당,대구광역시 북구 매전로 73(태전동),,35.9129433471,128.5439120720,영업,053-665-2532,2009-04-24,,대구광역시 북구청,2023-07-07
"샛별경로당",경로당,대구광역시 북구 팔거천서로 25-36(태전동),,35.9275451790,128.5503243745,영업,053-665-2532,2011-10-05,,대구광역시 북구청,2023-07-07
"남영네오하이츠경로당",경로당,대구광역시 북구 칠곡중앙대로46길15(태전동),,35.9177060788,128.5490806597,영업,053-665-2532,2013-07-18,,대구광역시 북구청,2023-07-07
"구명경로당",경로당,대구광역시 북구 학정로42길 28(구암동),,35.9261694345,128.5580681192,영업,053-665-2532,1996-04-04,,대구광역시 북구청,2023-07-07
"구암제1경로당",경로당,대구광역시 북구 구암로54길 5(구암동),,35.9354002925,128.5670563814,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"구암제2경로당",경로당,대구광역시 북구 구암로42길 14(구암동),,35.9303487026,128.5623344619,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"그린빌3단지A경로당",경로당,대구광역시 북구 구암서로 41(구암동),,35.9397092940,128.5637031796,영업,053-665-2532,2001-06-12,,대구광역시 북구청,2023-07-07
"동서영남타운경로당",경로당,대구광역시 북구 구암로 180(구암동),,35.9303288925,128.5608788369,영업,053-665-2532,1996-04-27,,대구광역시 북구청,2023-07-07
"미래A경로당",경로당,대구광역시 북구 팔거천동로 52(구암동),,35.9285113002,128.5554848698,영업,053-665-2532,1996-08-07,,대구광역시 북구청,2023-07-07
"신구암경로당",경로당,대구광역시 북구 태암로18길 12(구암동),,35.9261538435,128.5559702740,영업,053-665-2532,1999-11-22,,대구광역시 북구청,2023-07-07
"청구타운경로당",경로당,대구광역시 북구 학정로 271(구암동),,35.9286749490,128.5588535300,영업,053-665-2532,1996-11-06,,대구광역시 북구청,2023-07-07
"칠곡2차동서A경로당",경로당,대구광역시 북구 구암로32길 22(구암동),,35.9300309282,128.5574834249,영업,053-665-2532,1997-03-17,,대구광역시 북구청,2023-07-07
"칠곡2차한라타운경로당",경로당,대구광역시 북구 구암로 170(구암동),,35.9305191718,128.5593845704,영업,053-665-2532,1996-04-19,,대구광역시 북구청,2023-07-07
"칠곡3단지부영A경로당",경로당,대구광역시 북구 구암서로 7(구암동),,35.9376644589,128.5630993167,영업,053-665-2532,2004-09-23,,대구광역시 북구청,2023-07-07
"칠곡3차서한타운경로당",경로당,대구광역시 북구 구암로32길 14(구암동),,35.9309895543,128.5568310042,영업,053-665-2532,1997-02-05,,대구광역시 북구청,2023-07-07
"칠곡5단지부영A경로당",경로당,대구광역시 북구 대천로 132(구암동),,35.9353292625,128.5625931535,영업,053-665-2532,2004-09-23,,대구광역시 북구청,2023-07-07
"칠곡6단지부영A경로당",경로당,대구광역시 북구 구암로49길 24(구암동),,35.9340889909,128.5623674074,영업,053-665-2532,2004-09-15,,대구광역시 북구청,2023-07-07
"칠곡7단지부영A경로당",경로당,대구광역시 북구 구암로49길 10(구암동),,35.9348655873,128.5658596543,영업,053-665-2532,2004-07-26,,대구광역시 북구청,2023-07-07
"칠곡건영경로당",경로당,대구광역시 북구 구암로32길 15(구암동),,35.9295989529,128.5576060250,영업,053-665-2532,2002-05-11,,대구광역시 북구청,2023-07-07
"칠곡그린빌2단지경로당",경로당,대구광역시 북구 구암서로 70(구암동),,35.9414888035,128.5666440230,영업,053-665-2532,2001-12-01,,대구광역시 북구청,2023-07-07
"칠곡그린빌4경로당",경로당,대구광역시 북구 구암서로 22(구암동),,35.9364429433,128.5655899286,영업,053-665-2532,2002-05-11,,대구광역시 북구청,2023-07-07
"칠곡금빛타운경로당",경로당,대구광역시 북구 팔거천동로 70(구암동),,35.9310948972,128.5554061844,영업,053-665-2532,1996-12-05,,대구광역시 북구청,2023-07-07
"화성그랜드파크경로당",경로당,대구광역시 북구 구암로65길 9(구암동),,35.9393151584,128.5664654819,영업,053-665-2532,2004-06-24,,대구광역시 북구청,2023-07-07
"함지경로당",경로당,대구광역시 북구 구암로41길 14-7(구암동),,35.9330004244,128.5638197709,영업,053-665-2532,2011-12-05,,대구광역시 북구청,2023-07-07
"관음경로당",경로당,대구광역시 북구 관음동로17길 23(관음동),,35.9400864333,128.5450419727,영업,053-665-2532,1996-03-26,,대구광역시 북구청,2023-07-07
"관음한양수정A경로당",경로당,대구광역시 북구 구암로 17(관음동),,35.9366389327,128.5429342199,영업,053-665-2532,1994-07-14,,대구광역시 북구청,2023-07-07
"동화타운경로당",경로당,대구광역시 북구 칠곡중앙대로95길 12(관음동),,35.9390305438,128.5478132021,영업,053-665-2532,2001-06-12,,대구광역시 북구청,2023-07-07
"서한맨션경로당",경로당,대구광역시 북구 관음중앙로 6(관음동),,35.9343967476,128.5455859700,영업,053-665-2532,1992-10-02,,대구광역시 북구청,2023-07-07
"한라타운경로당",경로당,대구광역시 북구 칠곡중앙대로91길 58(관음동),,35.9378865395,128.5428308195,영업,053-665-2532,1992-12-02,,대구광역시 북구청,2023-07-07
"한신A경로당",경로당,대구광역시 북구 관음로 50(관음동),,35.9344505014,128.5421427500,영업,053-665-2532,1993-07-07,,대구광역시 북구청,2023-07-07
"훼밀리타운경로당",경로당,대구광역시 북구 칠곡중앙대로95길 11(관음동),,35.9373398799,128.5476622206,영업,053-665-2532,2004-08-31,,대구광역시 북구청,2023-07-07
"신락경로당",경로당,대구광역시 북구 관음중앙로21길 12-33(관음동),,35.9449527493,128.5444343444,영업,053-665-2532,2014-04-20,,대구광역시 북구청,2023-07-07
"공작A경로당",경로당,대구광역시 북구 구암로21길 38(읍내동),,35.9356718087,128.5531846595,영업,053-665-2532,1993-07-21,,대구광역시 북구청,2023-07-07
"교동경로당",경로당,"대구광역시 북구 칠곡중앙대로 605-12, 104동 102호(읍내동, 형우선경빌라)",,35.9498787348,128.5512041017,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"대동경로당",경로당,대구광역시 북구 대천로9길 7(읍내동),,35.9382079231,128.5539892373,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"럭키APT경로당",경로당,대구광역시 북구 팔거천서로 181(읍내동),,35.9403770153,128.5565511580,영업,053-665-2532,1994-09-27,,대구광역시 북구청,2023-07-07
"말산경로당",경로당,대구광역시 북구 관음중앙로29길 5-18(읍내동),,35.9459325110,128.5477603172,영업,053-665-2532,1994-06-30,,대구광역시 북구청,2023-07-07
"목련APT경로당",경로당,대구광역시 북구 구암로15길 38(읍내동),,35.9359011572,128.5499357420,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"목화APT경로당",경로당,대구광역시 북구 대천로9길 15(읍내동),,35.9386608328,128.5545252321,영업,053-665-2532,1992-02-27,,대구광역시 북구청,2023-07-07
"산호한양APT경로당",경로당,대구광역시 북구 대천로7길 40(읍내동),,35.9410387841,128.5557749192,영업,053-665-2532,1995-12-28,,대구광역시 북구청,2023-07-07
"읍내2동경로당",경로당,대구광역시 북구 칠곡중앙대로526(읍내동),,35.9425249571,128.5512210270,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"제일맨션경로당",경로당,대구광역시 북구 칠곡중앙대로 454(읍내동),,35.9363984686,128.5494423857,영업,053-665-2532,1993-08-11,,대구광역시 북구청,2023-07-07
"시호정경로당",경로당,대구광역시 북구 동암로7길 83(읍내동),,35.9532508590,128.5551532350,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"죽림경로당",경로당,대구광역시 북구 동암로7길 83(읍내동),,35.9532508590,128.5551532350,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"중앙경로당",경로당,대구광역시 북구 칠곡중앙대로114길 10(읍내동),,35.9456537934,128.5518697634,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"청암A경로당",경로당,대구광역시 북구 관음동로 128(읍내동),,35.9441335785,128.5476476555,영업,053-665-2532,1992-10-21,,대구광역시 북구청,2023-07-07
"칠곡3차보성경로당",경로당,대구광역시 북구 칠곡중앙대로126길 7-12(읍내동),,35.9510268674,128.5544288196,영업,053-665-2532,1997-04-22,,대구광역시 북구청,2023-07-07
"칠곡보성A경로당",경로당,대구광역시 북구 구암로21길 26(읍내동),,35.9349503456,128.5527606725,영업,053-665-2532,1993-10-09,,대구광역시 북구청,2023-07-07
"칠곡우방타운경로당",경로당,대구광역시 북구 칠곡중앙대로115길 24(읍내동),,35.9476803414,128.5492073015,영업,053-665-2532,1999-07-02,,대구광역시 북구청,2023-07-07
"코스모스A경로당",경로당,대구광역시 북구 구암로21길 6(읍내동),,35.9327537681,128.5528201993,영업,053-665-2532,1995-02-21,,대구광역시 북구청,2023-07-07
"한서A경로당",경로당,대구광역시 북구 동암로7길 39(읍내동),,35.9495524125,128.5555703642,영업,053-665-2532,1995-10-02,,대구광역시 북구청,2023-07-07
"현대2차A경로당",경로당,대구광역시 북구 대천로7길 26(읍내동),,35.9399954304,128.5546009060,영업,053-665-2532,1993-11-13,,대구광역시 북구청,2023-07-07
"칠곡e-편한세상경로당",경로당,대구광역시 북구 칠곡중앙대로 598(읍내동),,35.9495671389,128.5533761858,영업,053-665-2532,2010-07-27,,대구광역시 북구청,2023-07-07
SD아이프라임강북경로당,경로당,대구광역시 북구 칠곡중앙대로125길 7(읍내동),,35.9513688737,128.5518578689,영업,053-665-2532,2011-04-04,,대구광역시 북구청,2023-07-07
"학정역효성해링턴플레이스아파트경로당",경로당,대구광역시 북구 관음로 295(읍내동),,35.9541217402,128.5522354652,영업,053-665-2532,2019-08-16,,대구광역시 북구청,2023-07-07
"읍내행복아파트경로당",경로당,대구광역시 북구 칠곡중앙대로 434,,35.934080442,128.549088216,영업,053-665-2532,2022-12-05,,대구광역시 북구청,2023-07-07
"동화골든빌경로당",경로당,대구광역시 북구 동천로 156(동천동),,35.9451314045,128.5614425819,영업,053-665-2532,2003-06-11,,대구광역시 북구청,2023-07-07
"들말경로당",경로당,대구광역시 북구 대천로18길 8(동천동),,35.9363925456,128.5577384412,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"부영e그린타운경로당",경로당,대구광역시 북구 동천로24길 12(동천동),,35.9415003055,128.5619316358,영업,053-665-2532,2004-05-14,,대구광역시 북구청,2023-07-07
"우방하이츠경로당",경로당,대구광역시 북구 구리로 26(동천동),,35.9461522575,128.5574309948,영업,053-665-2532,2000-12-15,,대구광역시 북구청,2023-07-07
"칠곡2차보성(보성서한)경로당",경로당,대구광역시 북구 팔거천동로 104(동천동),,35.9327071413,128.5563921145,영업,053-665-2532,1996-02-10,,대구광역시 북구청,2023-07-07
"칠곡2차영남경로당",경로당,대구광역시 북구 팔거천동로24길 40(동천동),,35.9317189105,128.5606631794,영업,053-665-2532,1996-02-10,,대구광역시 북구청,2023-07-07
"칠곡화성타운경로당",경로당,대구광역시 북구 동천로 6(동천동),,35.9317529344,128.5592517990,영업,053-665-2532,1996-05-16,,대구광역시 북구청,2023-07-07
"화성3차경로당",경로당,대구광역시 북구 대천로 101(동천동),,35.9370140930,128.5603512031,영업,053-665-2532,2000-04-17,,대구광역시 북구청,2023-07-07
"화성센트럴파크경로당",경로당,대구광역시 북구 대천로 100(동천동),,35.9350371369,128.5599659625,영업,053-665-2532,2004-10-14,,대구광역시 북구청,2023-07-07
"영남네오빌아트경로당",경로당,대구광역시 북구 동천로 97(동천동),,35.9417171060,128.5587514118,영업,053-665-2532,2005-05-17,,대구광역시 북구청,2023-07-07
"칠곡네스빌경로당",경로당,대구광역시 북구 동천로 155(동천동),,35.9450352899,128.559305196,영업,053-665-2532,2005-10-19,,대구광역시 북구청,2023-07-07
"동천경로당",경로당,대구광역시 북구 팔거천동로26길 8-15(동천동),,35.9348590219,128.5570691100,영업,053-665-2532,2014-08-26,,대구광역시 북구청,2023-07-07
"동평경로당",경로당,"대구광역시 북구 팔거천동로34길 16-10, 103호(동천동)",,35.9378420175,128.5592519589,영업,053-665-2532,2019-07-22,,대구광역시 북구청,2023-07-07
"국우경로당",경로당,대구광역시 북구 도남길 48(국우동),,35.9533191438,128.5814785107,영업,053-665-2532,1990-04-06,,대구광역시 북구청,2023-07-07
"그린빌1단지경로당",경로당,대구광역시 북구 구리로 250(국우동),,35.9486637294,128.5778624889,영업,053-665-2532,2000-06-14,,대구광역시 북구청,2023-07-07
"그린빌5단지경로당",경로당,대구광역시 북구 학남로 100(국우동),,35.9438716229,128.5684006530,영업,053-665-2532,2003-06-02,,대구광역시 북구청,2023-07-07
"그린빌6단지경로당",경로당,대구광역시 북구 학정동로 10(국우동),,35.9440396029,128.5670687254,영업,053-665-2532,2004-02-04,,대구광역시 북구청,2023-07-07
"도남1동경로당",경로당,대구광역시 북구 도남길 264(도남동),,35.9700620353,128.5893786927,영업,053-665-2532,1995-10-13,,대구광역시 북구청,2023-07-07
"도남2동경로당",경로당,대구광역시 북구 도남길 148-15(도남동),,35.9614274313,128.5857603108,영업,053-665-2532,1996-10-23,,대구광역시 북구청,2023-07-07
"동호경로당",경로당,대구광역시 북구 동호길 72-13(동호동),,35.9635770273,128.5578028672,영업,053-665-2532,1997-04-01,,대구광역시 북구청,2023-07-07
"부영1단지A경로당",경로당,대구광역시 북구 학정동로 7(국우동),,35.9444878228,128.5648385942,영업,053-665-2532,2002-10-10,,대구광역시 북구청,2023-07-07
"칠곡현대아파트경로당",경로당,대구광역시 북구 구리로 254(국우동),,35.9477799666,128.5773842212,영업,053-665-2532,2001-11-09,,대구광역시 북구청,2023-07-07
"학수경로당",경로당,대구광역시 북구 학남로 35(학정동),,35.9487731452,128.5686646667,영업,053-665-2532,1992-09-18,,대구광역시 북구청,2023-07-07
"학정1동경로당",경로당,대구광역시 북구 학정로109길 16(학정동),,35.9527014485,128.5645314592,영업,053-665-2532,1994-06-20,,대구광역시 북구청,2023-07-07
"칠곡1차한라하우젠트경로당",경로당,대구광역시 북구 학남로 10(학정동),,35.9485531302,128.5653352505,영업,053-665-2532,2007-07-04,,대구광역시 북구청,2023-07-07
"칠곡7주공경로당",경로당,대구광역시 북구 학남로 60(학정동),,35.9475606636,128.5689889004,영업,053-665-2532,2007-11-20,,대구광역시 북구청,2023-07-07
"학정청아람경로당",경로당,대구광역시 북구 학정로110길 29(학정동),,35.9542993403,128.5665621718,영업,053-665-2532,2008-08-19,,대구광역시 북구청,2023-07-07
"노본경로당",경로당,대구광역시 북구 노본길 12(학정동),,35.9583026766,128.5668278943,영업,053-665-2532,2011-11-24,,대구광역시 북구청,2023-07-07
"남문고을경로당",경로당,대구광역시 북구 구리로34길 57(국우동),,35.9478036787,128.5763203462,영업,053-665-2532,2014-07-24,,대구광역시 북구청,2023-07-07
"도남LH1단지경로당",경로당,대구광역시 북구 도남길 96,,35.956821145,128.583226388,영업,053-665-2532,2023-06-01,,대구광역시 북구청,2023-07-07
